C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2016/02/03,15:30:08,0000000268356511,DISPATCHSCADA,0000000268356505
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",ANGAS1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",ANGAS2,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BUTLERSG,-0.000002
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",CALL_A_4,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",CAPTL_WF,122.879997
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",CATHROCK,21.219999
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",CHALLHWF,44.200001
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",CLOVER,-0.10
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",CLUNY,8.0024
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",CNUNDAWF,29.834803
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",CULLRGWF,1.81
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",ERGT01,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",GB01,0.168854
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",GERMCRK,29.60
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",INVICTA,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",LKBONNY1,43.940208
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",MBAHNTH,31.312502
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",MLWF1,19.424999
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",MTMILLAR,38.590641
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",PALOONA,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",PIONEER,29.300001
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",PORTWF,53.299999
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",REPULSE,13.033620
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",ROWALLAN,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",RPCG,-0.80
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",RUBICON,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",STARHLWF,24.492857
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",WAUBRAWF,180.007004
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",WOOLNTH1,115.660019
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",WPWF,80
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",YAMBUKWF,18.50
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",AGLHAL,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",AGLSOM,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BALDHWF1,79.6450
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BARCALDN,33.476920
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BARRON-1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BARRON-2,25.36
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BASTYAN,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BBTHREE1,28.81
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BBTHREE2,15.97
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BBTHREE3,16.18
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BDL01,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BDL02,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BLOWERNG,5.0950
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BLUFF1,26.30
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BOCORWF1,21.42
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BRAEMAR1,149.80
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BRAEMAR2,146.200010
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BRAEMAR3,148.200010
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BRAEMAR5,135.575810
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BRAEMAR6,136.935390
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BRAEMAR7,134.649280
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BROKENH1,11.059080
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BW01,578.837040
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BW02,576.7785
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BW03,539.988650
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",BW04,577.823970
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",CALL_B_1,309.600010
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",CALL_B_2,313.899990
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",CETHANA,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",CG1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",CG2,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",CG3,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",CG4,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",CLEMGPWF,31.623370
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",CPP_3,351.725010
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",CPP_4,394.6250
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",CPSA,132.070010
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",DARTM1,112.20
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",DDPS1,575.497860
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",DEVILS_G,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",DG_NSW1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",DG_QLD1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",DG_SA1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",DG_TAS1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",DG_VIC1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",DRYCGT1,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",DRYCGT2,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",DRYCGT3,0
D,DISPATCH,UNIT_SCADA,1,"2016/02/03 15:35:00",EILDON1,37.12
