C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2016/01/26,12:15:07,0000000268122553,DISPATCHSCADA,0000000268122547
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",ANGAS1,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",ANGAS2,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BUTLERSG,8.199999
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",CALL_A_4,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",CAPTL_WF,48.300003
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",CATHROCK,16.219999
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",CHALLHWF,7.80
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",CLOVER,-0.01
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",CLUNY,7.688020
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",CNUNDAWF,25.029198
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",CULLRGWF,5.99
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",ERGT01,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",GB01,0.165207
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",GERMCRK,33
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",INVICTA,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",LKBONNY1,28.221758
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",MBAHNTH,57.206253
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",MLWF1,7.38
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",MTMILLAR,3.504858
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",PALOONA,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",PIONEER,31
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",PORTWF,102.400002
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",REPULSE,13.891095
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",ROWALLAN,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",RPCG,18.40
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",RUBICON,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",STARHLWF,3.299038
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",WAUBRAWF,29.462999
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",WOOLNTH1,79.550018
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",WPWF,16
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",YAMBUKWF,22
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",AGLHAL,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",AGLSOM,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BALDHWF1,82.1080
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BARCALDN,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BARRON-1,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BARRON-2,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BASTYAN,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BBTHREE1,35.24
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BBTHREE2,20.50
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BBTHREE3,18.37
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BDL01,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BDL02,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BLOWERNG,17.690260
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BLUFF1,4.90
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BOCORWF1,30.73
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BRAEMAR1,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BRAEMAR2,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BRAEMAR3,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BRAEMAR5,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BRAEMAR6,135.112530
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BRAEMAR7,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BROKENH1,52.734130
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BW01,334.571960
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BW02,529.761840
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BW03,520.580570
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",BW04,524.664730
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",CALL_B_1,318.300020
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",CALL_B_2,338.100010
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",CETHANA,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",CG1,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",CG2,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",CG3,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",CG4,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",CLEMGPWF,0.720350
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",CPP_3,405.899990
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",CPP_4,399.575010
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",CPSA,112.688130
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",DARTM1,115.40
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",DDPS1,581.159060
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",DEVILS_G,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",DG_NSW1,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",DG_QLD1,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",DG_SA1,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",DG_TAS1,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",DG_VIC1,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",DRYCGT1,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",DRYCGT2,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",DRYCGT3,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",EILDON1,40.20
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",EILDON2,0.04
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",ER01,349.950070
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",ER02,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",ER03,279.825070
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",ER04,349.349980
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",FISHER,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",GORDON,174.790120
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",GSTONE1,163.80
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",GSTONE2,0
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",GSTONE3,165.3750
D,DISPATCH,UNIT_SCADA,1,"2016/01/26 12:20:00",GSTONE4,165.20
